Source,SID,Target,TID,Overallcount,Type,Label,Weight
"Marie Herzfeld","11666","Arthur Schnitzler","2121","39","Directed","Marie Herzfeld–Arthur Schnitzler","1"
"Marie Herzfeld","11666","Peter Rotenstern","2992","5","Directed","Marie Herzfeld–Peter Rotenstern","2"
"Marie Herzfeld","11666","Alice Barbi","3031","1","Directed","Marie Herzfeld–Alice Barbi","1"
"Marie Herzfeld","11666","Georg von Seybel","3058","1","Directed","Marie Herzfeld–Georg von Seybel","1"
"Marie Herzfeld","11666","Herman Bang","10828","2","Directed","Marie Herzfeld–Herman Bang","1"
"Marie Herzfeld","11666","Georg Brandes","10992","37","Directed","Marie Herzfeld–Georg Brandes","1"
"Marie Herzfeld","11666","Hugo von Hofmannsthal","11740","271","Directed","Marie Herzfeld–Hugo von Hofmannsthal","3"
"Marie Herzfeld","11666","Sophus Michaëlis","12251","1","Directed","Marie Herzfeld–Sophus Michaëlis","1"
"Marie Herzfeld","11666","Heinrich Schnitzler","12692","114","Directed","Marie Herzfeld–Heinrich Schnitzler","1"
"Marie Herzfeld","11666","Johann Schnitzler","12695","22","Directed","Marie Herzfeld–Johann Schnitzler","1"
"Marie Herzfeld","11666","Karl Schönherr","12749","6","Directed","Marie Herzfeld–Karl Schönherr","1"
"Marie Herzfeld","11666","Heinrich Zimmer","13183","4","Directed","Marie Herzfeld–Heinrich Zimmer","1"
"Marie Herzfeld","11666","Anna Rotenstern-Tesi","23640","2","Directed","Marie Herzfeld–Anna Rotenstern-Tesi","2"
"Marie Herzfeld","11666","Marie Schey","24118","1","Directed","Marie Herzfeld–Marie Schey","1"
"Marie Herzfeld","11666","Alfred Spitzer","65479","2","Directed","Marie Herzfeld–Alfred Spitzer","1"
"Marie Herzfeld","11666","Reinhard Urbach","65504","1","Directed","Marie Herzfeld–Reinhard Urbach","1"
"Auguste Hauschner","2524","Guy de Maupassant","12201","7","Directed","Auguste Hauschner–Guy de Maupassant","1"
"Auguste Hauschner","2524","Lotte Bloch-Zavřel","63579","1","Directed","Auguste Hauschner–Lotte Bloch-Zavřel","1"
"Karin Michaëlis","4408","Olga Schnitzler","2173","459","Directed","Karin Michaëlis–Olga Schnitzler","1"
"Karin Michaëlis","4408","Peter Nansen","2357","19","Directed","Karin Michaëlis–Peter Nansen","1"
"Karin Michaëlis","4408","Eugenie Schwarzwald","24658","1","Directed","Karin Michaëlis–Eugenie Schwarzwald","1"
"Karin Michaëlis","4408","Herdis Bergstrøm","65740","1","Directed","Karin Michaëlis–Herdis Bergstrøm","1"
"Therese Rie-Andro","4836","William Shakespeare","2412","19","Directed","Therese Rie-Andro–William Shakespeare","1"
"Therese Rie-Andro","4836","Hans Pfitzner","2674","3","Directed","Therese Rie-Andro–Hans Pfitzner","3"
"Therese Rie-Andro","4836","Julius von Hochenegg","7882","1","Directed","Therese Rie-Andro–Julius von Hochenegg","1"
"Therese Rie-Andro","4836","Georg Friedrich Händel","7945","1","Directed","Therese Rie-Andro–Georg Friedrich Händel","1"
"Therese Rie-Andro","4836","Ludwig Thoma","10210","1","Directed","Therese Rie-Andro–Ludwig Thoma","1"
"Therese Rie-Andro","4836","Luise Ullrich","10300","1","Directed","Therese Rie-Andro–Luise Ullrich","1"
"Therese Rie-Andro","4836","Johann Sebastian Bach","10806","1","Directed","Therese Rie-Andro–Johann Sebastian Bach","1"
"Therese Rie-Andro","4836","Ernst von Dohnányi","11165","6","Directed","Therese Rie-Andro–Ernst von Dohnányi","1"
"Therese Rie-Andro","4836","Johann Wolfgang von Goethe","11461","44","Directed","Therese Rie-Andro–Johann Wolfgang von Goethe","1"
"Therese Rie-Andro","4836","Josef Kainz","11851","22","Directed","Therese Rie-Andro–Josef Kainz","1"
"Therese Rie-Andro","4836","Gustav Mahler","12163","4","Directed","Therese Rie-Andro–Gustav Mahler","1"
"Therese Rie-Andro","4836","Alexander Moissi","12274","7","Directed","Therese Rie-Andro–Alexander Moissi","1"
"Therese Rie-Andro","4836","Friedrich Nietzsche","12358","11","Directed","Therese Rie-Andro–Friedrich Nietzsche","1"
"Therese Rie-Andro","4836","Romain Rolland","12543","4","Directed","Therese Rie-Andro–Romain Rolland","2"
"Therese Rie-Andro","4836","Johann Schnitzler","12695","22","Directed","Therese Rie-Andro–Johann Schnitzler","2"
"Therese Rie-Andro","4836","Hugo Wolf","13152","2","Directed","Therese Rie-Andro–Hugo Wolf","1"
"Therese Rie-Andro","4836","Stefan Zweig","13212","2","Directed","Therese Rie-Andro–Stefan Zweig","1"
"Therese Rie-Andro","4836","Maximilian Herz","56051","2","Directed","Therese Rie-Andro–Maximilian Herz","2"
"Therese Rie-Andro","4836","Pietro Metastasio","56176","1","Directed","Therese Rie-Andro–Pietro Metastasio","1"
"Ludwig Ganghofer","11402","Otto Brahm","10986","112","Directed","Ludwig Ganghofer–Otto Brahm","1"
"Ludwig Ganghofer","11402","Ludwig Fulda","11391","15","Directed","Ludwig Ganghofer–Ludwig Fulda","1"
"Ludwig Ganghofer","11402","Fimmel","148058","1","Directed","Ludwig Ganghofer–Fimmel","1"
"Adalbert Franz Seligmann","12769","William Shakespeare","2412","19","Directed","Adalbert Franz Seligmann–William Shakespeare","1"
